idProject;refType;refId;idResource;rate
14;Activity;554;257;100
14;Activity;554;255;100
14;Activity;554;229;100
14;Activity;554;227;100
14;Activity;554;202;100
14;Activity;554;200;100
14;Activity;554;199;100
14;Activity;554;197;100
14;Activity;554;195;100
14;Activity;554;194;100
14;Activity;554;180;100
14;Activity;554;119;100
14;Activity;554;90;100
14;Activity;554;87;100
14;Activity;554;77;100
14;Activity;554;66;100
14;Activity;554;53;100
14;Activity;554;47;100
14;Activity;554;42;100
14;Activity;554;40;100
14;Activity;554;39;100
14;Activity;554;34;100
14;Activity;554;22;100
14;Activity;554;20;100
14;Activity;555;267;100
14;Activity;555;257;100
14;Activity;555;255;100
14;Activity;555;229;100
14;Activity;555;227;100
14;Activity;555;202;100
14;Activity;555;200;100
14;Activity;555;199;100
14;Activity;555;197;100
14;Activity;555;195;100
14;Activity;555;194;100
14;Activity;555;180;100
14;Activity;555;119;100
14;Activity;555;90;100
14;Activity;555;87;100
14;Activity;555;77;100
14;Activity;555;66;100
14;Activity;555;53;100
14;Activity;555;47;100
14;Activity;555;42;100
14;Activity;555;40;100
14;Activity;555;39;100
14;Activity;555;34;100
14;Activity;555;22;100
14;Activity;555;20;100
14;Activity;556;267;100
14;Activity;556;257;100
14;Activity;556;255;100
14;Activity;556;229;100
14;Activity;556;227;100
14;Activity;556;202;100
14;Activity;556;200;100
14;Activity;556;199;100
14;Activity;556;197;100
14;Activity;556;195;100
14;Activity;556;194;100
14;Activity;556;180;100
14;Activity;556;119;100
14;Activity;556;90;100
14;Activity;556;87;100
14;Activity;556;77;100
14;Activity;556;66;100
14;Activity;556;53;100
14;Activity;556;47;100
14;Activity;556;42;100
14;Activity;556;40;100
14;Activity;556;39;100
14;Activity;556;34;100
14;Activity;556;22;100
14;Activity;556;20;100
14;Activity;557;267;100
14;Activity;557;257;100
14;Activity;557;255;100
14;Activity;557;229;100
14;Activity;557;227;100
14;Activity;557;202;100
14;Activity;557;200;100
14;Activity;557;199;100
14;Activity;557;197;100
14;Activity;557;195;100
14;Activity;557;194;100
14;Activity;557;180;100
14;Activity;557;119;100
14;Activity;557;90;100
14;Activity;557;87;100
14;Activity;557;77;100
14;Activity;557;66;100
14;Activity;557;53;100
14;Activity;557;47;100
14;Activity;557;42;100
14;Activity;557;40;100
14;Activity;557;39;100
14;Activity;557;34;100
14;Activity;557;22;100
14;Activity;557;20;100
